,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,acousticness,artists,energy,id,name,year,genres
11652,12028,11632,16576,2060,0.9840000000000001,Ella Fitzgerald,0.18899999999999997,7MgGU8FFyxulIache0PMCh,Medley: We Three Kings Of Orient Are/O Little Town Of Bethlehem,1960,blues
11653,12029,11635,16579,2063,0.7490000000000001,Ella Fitzgerald,0.3,0AqIhsraOrAQn2KhlRidrW,Good Morning Blues,1960,blues
11654,12030,11638,16582,2068,0.976,Ella Fitzgerald,0.228,7n8qaCLZIa6P6ckGrab2Qb,White Christmas - Alternate Take,1960,blues
11655,12031,11643,16588,2077,0.13699999999999998,Bo Diddley,0.784,1miwQNADgNEBikbUBful7z,Road Runner,1960,blues
11656,12032,11644,16589,2078,0.8170000000000001,John Lee Hooker,0.0887,6vKjJqK3XRQsRn91dsUWAY,I Need Some Money,1960,blues
11657,12033,11650,16595,2084,0.977,Ella Fitzgerald,0.18100000000000002,111YbaUpThK9Fw6iErOOEx,The Christmas Song - Alternate Take,1960,blues
11658,12034,11661,16609,2102,0.611,Nina Simone,0.317,59ergcrbjTOTKEetpTQJhI,"Li'l Liza Jane - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11659,12035,11663,16611,2105,0.581,Chuck Berry,0.716,2OCoH12t6olzx9bT1PEC8F,Let It Rock - Single Version,1960,blues
11660,12036,11679,16628,2123,0.746,Etta James,0.4,01R3dELmvQpeCgQQGHQPS6,Anything To Say You're Mine,1960,blues
11661,12037,11680,16629,2124,0.7020000000000001,Etta James,0.6679999999999999,43KwTWxKSOxLokl6ILLWxd,If I Can't Have You,1960,blues
11662,12038,11692,16642,2137,0.7759999999999999,Ella Fitzgerald,0.509,3HAb7X4nme7Ke4heOTwncF,Frosty The Snowman - Alternate Take,1960,blues
11663,12039,11695,16645,2141,0.845,Dinah Washington,0.52,4ydSzWwxqtNdP4VPfQe8bf,A Rockin' Good Way (To Mess Around And Fall In Love),1960,blues
11664,12040,11703,16653,2149,0.938,Ella Fitzgerald,0.19,13V42foSPRVccg7Ksh9Pnx,"Misty - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11665,12041,11706,16656,2152,0.823,Etta James,0.401,4C4ZGls8SqHMrYayEqK8BT,Girl Of My Dreams - Single Version,1960,blues
11666,12042,11716,16667,2163,0.519,Etta James,0.53,1swNbKiUEwgTM6jnkx5rkm,Spoonful - Single Version,1960,blues
11667,12043,11725,16677,2174,0.8859999999999999,Etta James,0.409,3Yub8LUvhAvIyguaW3lUNs,My Heart Cries - Single Version,1960,blues
11668,12044,11729,16683,2180,0.387,Etta James,0.722,6oRkosAzlSgoMP7JHpZovG,Tough Mary - Single Version,1960,blues
11669,12045,11736,16690,2187,0.4920000000000001,Jimmy Reed,0.473,7LhYCokNBDYsVF0A0x95Pc,Big Boss Man,1960,blues
11670,12046,11756,16714,10259,0.802,Etta James,0.606,32YAcaOr2WgZ53EuouRVwg,It's A Crying Shame - Single Version,1960,blues
11671,12047,11768,16728,10273,0.6970000000000001,Ella Fitzgerald,0.628,7549epm7P9NV1zTMfKBI8m,"Mack The Knife - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11672,12048,11798,16766,10315,0.513,Chuck Berry,0.7,6qIMhhXZckFxcWLzevDQaz,Bye Bye Johnny - Single Version,1960,blues
